x,y
1,0.204748077
2,0.733139721
3,0.68975786
4,0.666237589
5,0.050679628
6,0.371560032
7,0.766302877
8,0.246036893
9,0.995366092
10,0.029977306
11,0.236858086
12,0.477266041
13,0.620543015
14,0.462190105
15,0.703740316
16,0.698403914
17,0.520055297
18,0.180442426
19,0.850520467
20,0.402796413
21,0.710150599
22,0.551312775
23,0.590004727
24,0.889162696
25,0.399686437
26,0.053856386
27,0.386200966
28,0.745379827
29,0.593458735
30,0.847711886
31,0.783278811
32,0.814501019
33,0.790981524
34,0.757142123
35,0.548737979
36,0.900966314
37,0.439586481
38,0.851733774
39,0.341320933
40,0.020068636
41,0.424487999
42,0.837978629
43,0.807811533
44,0.740304358
45,0.233030301
46,0.806528397
47,0.778139422
48,0.962637162
49,0.648507339
50,0.096490172
51,0.081741751
52,0.710591662
53,0.819408363
54,0.334981651
55,0.597094443
56,0.822300317
57,0.735230578
58,0.609718761
59,0.796554892
60,0.557204374
61,0.667069806
62,0.497696681
63,0.675120113
64,0.491211199
65,0.556660655
66,0.059695941
67,0.965488635
68,0.302635335
69,0.22756779
70,0.967848086
71,0.181699318
72,0.038603444
73,0.856440502
74,0.811511395
75,0.265928774
76,0.081216554
77,0.478808006
78,0.778341154
79,0.198794555
80,0.321775891
81,0.843791692
82,0.478911725
83,0.499980997
84,0.288289028
85,0.615658107
86,0.83434229
87,0.551579166
88,0.420089253
89,0.64394787
90,0.765957401
91,0.96998423
92,0.805901732
93,0.729793643
94,0.402735189
95,0.575559749
96,0.789591943
97,0.821000102
98,0.642621947
99,0.969297355
100,0.682890061
101,0.255506171
102,0.820679591
103,0.578427663
104,0.043727646
105,0.478225206
106,0.169065179
107,0.68036214
108,0.215431849
109,0.403304404
110,0.631588559
111,0.204252002
112,0.499698926
113,0.142481958
114,0.039128416
115,0.777121247
116,0.548449324
117,0.008774094
118,0.123105081
119,0.002561833
120,0.007429413
121,0.368945116
122,0.106327898
123,0.606507926
124,0.437027334
125,0.895673396
126,0.234602105
127,0.485446793
128,0.999840003
129,0.406662827
130,0.97861331
131,0.455511793
132,0.475133186
133,0.361413782
134,0.959683531
135,0.30768163
136,0.407772831
137,0.72713266
138,0.793978808
139,0.887908228
140,0.632971431
141,0.378549438
142,0.362228577
143,0.844566015
144,0.895452621
145,0.086346405
146,0.046188245
147,0.048285405
148,0.863817096
149,0.561197493
150,0.850704005
151,0.438562261
152,0.143456752
153,0.199482772
154,0.624000134
155,0.745776784
156,0.535580225
157,0.126157954
158,0.655118825
159,0.372009623
160,0.883076325
161,0.780751732
162,0.398302745
163,0.104035683
164,0.191001405
165,0.602912294
166,0.700462722
167,0.809194705
168,0.222872744
169,0.025421977
170,0.999187239
171,0.731924674
172,0.08729573
173,0.201304996
174,0.687925838
175,0.996027972
176,0.919396645
177,0.681427789
178,0.654053676
179,0.163949982
180,0.128391395
181,0.676270218
182,0.109699793
183,0.86645511
184,0.244624141
185,0.135368248
186,0.518611941
187,0.449584135
188,0.429200128
189,0.714006154
190,0.150703687
191,0.258178922
192,0.961866942
193,0.136215749
194,0.685717719
195,0.255670174
196,0.578900419
197,0.08244609
198,0.693985019
199,0.148440642
200,0.450225502
201,0.58853298
202,0.458962811
203,0.719595486
204,0.764678867
205,0.474437072
206,0.337710297
207,0.884307452
208,0.696648998
209,0.982686355
210,0.362331895
211,0.177243144
212,0.59363759
213,0.560565894
214,0.304276246
215,0.816021771
216,0.912072923
217,0.948435151
218,0.732704023
219,0.0088058
220,0.586626274
221,0.812452565
222,0.556819605
223,0.440901094
224,0.244583498
225,0.779039817
226,0.500931505
227,0.438066186
228,0.219798405
229,0.191060901
230,0.840153814
231,0.269021745
232,0.255028439
233,0.774266372
234,0.76699541
235,0.810860305
236,0.269138038
237,0.726889201
238,0.934410491
239,0.358557484
240,0.325682776
241,0.250848318
242,0.069037334
243,0.267608445
244,0.468831924
245,0.332107542
246,0.177509486
247,0.858554674
248,0.940353172
249,0.141862753
250,0.938718114
251,0.507875103
252,0.424684999
253,0.801456695
254,8.19E-05
255,0.786107737
256,0.562749964
257,0.571773252
258,0.684179215
259,0.124571755
260,0.752457938
261,0.041619238
262,0.53077319
263,0.28485451
264,0.906376583
265,0.734799238
266,0.428187194
267,0.819290539
268,0.5650478
269,0.941136308
270,0.730006691
271,0.676040955
272,0.701337909
273,0.979821012
274,0.378570669
275,0.053893487
276,0.381804534
277,0.813431342
278,0.756835424
279,0.436706669
280,0.776410712
281,0.230971244
282,0.194612754
283,0.807967088
284,0.717672937
285,0.122338529
286,0.830830679
287,0.927003898
288,0.991393424
289,0.493794993
290,0.32459317
291,0.950899465
292,0.010249765
293,0.988105782
294,0.553849877
295,0.740911929
296,0.939495195
297,0.638359868
298,0.861011441
299,0.623237115
300,0.938068616
301,0.542814046
302,0.57930964
303,0.270421869
304,0.693648814
305,0.188108946
306,0.238573681
307,0.095106508
308,0.774534768
309,0.844801876
310,0.350117245
311,0.731786943
312,0.326534324
313,0.066994889
314,0.109583557
315,0.723494327
316,0.84245603
317,0.80873339
318,0.411509322
319,0.047678838
320,0.878974007
321,0.48867302
322,0.58423095
323,0.022591558
324,0.242082743
325,0.646195793
326,0.598158755
